id,ckpt,n_atoms,n_heavy,fminus_hat_rho,fminus_hat_top_match,fminus_hat_top_match_tol,fminus_hat_top_rank,fminus_hat_n_top_equiv,fplus_hat_rho,fplus_hat_top_match,fplus_hat_top_match_tol,fplus_hat_top_rank,fplus_hat_n_top_equiv,dual_hat_rho,dual_hat_top_match,dual_hat_top_match_tol,dual_hat_top_rank,dual_hat_n_top_equiv
83477,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83503,id,19,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9666666666666667,True,True,0,1
83518,id,20,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83523,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9333333333333332,True,True,0,1
83527,id,18,9,1.0,True,True,0,1,0.9666666666666667,True,True,0,1,1.0,True,True,0,1
83539,id,21,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83542,id,19,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83554,id,19,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9500000000000001,True,True,0,1
83569,id,18,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83578,id,20,9,1.0,True,True,0,1,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1
83588,id,17,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83589,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83594,id,17,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83602,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83604,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83618,id,17,9,1.0,True,True,0,1,1.0,True,True,0,2,1.0,True,True,0,2
83623,id,21,9,1.0,True,True,0,1,0.9500000000000001,True,True,0,1,1.0,True,True,0,1
83625,id,20,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83628,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
