ckpt,features,target,alpha,cov_marg,w_marg,cov_norm,w_norm,cov_mond_flag,w_mond_flag,cov_mond_gap,w_mond_gap,cov_intr_marg,cov_intr_mond,selected,fdp,power
ood,fock,sB_LUMO,0.1,0.9020333333333334,0.20149147713492893,0.8993166666666665,0.14268097075295297,0.9036500000000001,0.1612651854583804,0.9014833333333332,0.19207980677727915,0.0,0.701331446611565,,,
ood,fock,sB_LUMO,0.05,0.9515333333333332,0.33660786773167756,0.9493666666666668,0.18364322619452284,0.9518333333333333,0.2040767029598114,0.9523833333333334,0.3449692298664883,0.0,0.8450286333429,,,
ood,fock,F1_HOMO,0.1,0.8977666666666668,1.23235857581777,0.8988333333333334,1.0844905750801694,0.8972000000000001,1.1707489739291599,0.9002666666666667,1.267612152070205,0.6229877626635949,0.8024214800255931,,,
ood,fock,F1_HOMO,0.05,0.9497666666666668,1.5271827900856447,0.9482333333333333,1.3052866588926346,0.9493333333333333,1.434862989852885,0.9517000000000001,1.56305485930843,0.7280457213992142,0.8650147728052666,,,
ood,fock,F1_LUMO,0.1,0.8977833333333332,0.53260445958009,0.8974833333333334,0.4918771459869727,0.8975833333333334,0.5004408026549251,0.8991333333333333,0.40436025903262,0.6055666889149857,0.7820061874035176,,,
ood,fock,F1_LUMO,0.05,0.9493499999999999,0.757418674120795,0.9493833333333332,0.6995857616355516,0.9501166666666666,0.6781077173334251,0.95015,0.48480690397578,0.6857822820337262,0.8646043602014576,,,
ood,fock,F1_gap,0.1,0.8996999999999998,1.1434569637447662,0.8998833333333334,1.052170968546774,0.8992166666666668,1.0971604801573975,0.8999166666666667,1.076654319423866,0.7239359846591572,0.8263084366560142,,,
ood,fock,F1_gap,0.05,0.9491333333333334,1.4977206341692935,0.9481166666666667,1.2889173238082168,0.9488333333333333,1.4184714569423993,0.9505499999999998,1.460408922271722,0.7897991079281032,0.8682626547442256,,,
ood,fock,FDR,0.002,,,,,,,,,,,0.7232833333333334,0.001642163489053996,0.7439627885577211
ood,fock,FDR,0.005,,,,,,,,,,,0.8304833333333335,0.0045108632467320475,0.8517913698229874
ood,fock,FDR,0.01,,,,,,,,,,,0.8882666666666668,0.009632012369442855,0.906374402870839
ood,fock,FDR,0.02,,,,,,,,,,,0.9541999999999999,0.020116662182129586,0.9633239277023371
ood,fock,FDR,0.05,,,,,,,,,,,1.0,0.029433333333333332,1.0
ood,fock,FDR_F1,0.002,,,,,,,,,,,0.9958500000000001,0.0018390396538837128,0.9979763246095723
ood,fock,FDR_F1,0.005,,,,,,,,,,,0.9999666666666667,0.003933388925950634,1.0
ood,fock,FDR_F1,0.01,,,,,,,,,,,1.0,0.003966666666666667,1.0
ood,fock,FDR_F1,0.02,,,,,,,,,,,1.0,0.003966666666666667,1.0
ood,fock,FDR_F1,0.05,,,,,,,,,,,1.0,0.003966666666666667,1.0
